"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"HALLMARK_ALLOGRAFT_REJECTION",0.0989010989010989,1,-0.369275284630682,-1.10630770767577,8,200,"CXCL13,CCL13,INHBA,THY1,TLR3,CCL2,IFNGR2,SOCS1,IL12A,KRT1,ICOSLG,CCL19,TLR1,PSMB10,CD86,RPL9,CD96,UBE2D1,IRF4,HLA-G,IL2,CD74,HCLS1,BCL3,EREG,NCK1,HLA-DQA1,CD40,EIF3J,CFP,HLA-DMA,RPL39,CD8B,CD80,SIT1,CD28,BRCA1,SOCS5,IRF7,FASLG,IFNG,GZMB,HLA-DRA,IL12RB1,GPR65,JAK2,CCL22,F2,EGFR,RPS19,FAS,CSF1,IL15,CD247,ITGB2,IL12B,CCR1,NCF4,WAS,DYRK3,CARTPT,IL2RB,INHBB,GALNT1,PTPRC,IGSF6,CCL11,HDAC9,IL6,KLRD1,TAP2,IL18,LIF,LTB,CD79A"
"HALLMARK_PANCREAS_BETA_CELLS",0.394495412844037,1,-0.428182658400575,-1.02505583817287,515,40,"MAFB,PCSK2,CHGA,SRPRB,PCSK1,SYT13,G6PC2,ISL1,PAX6,INSM1,SLC2A2,NEUROD1,DPP4,NKX2-2,PKLR,SPCS1,NKX6-1,HNF1A,SCGN"
"HALLMARK_INFLAMMATORY_RESPONSE",0.56043956043956,1,-0.327568434388027,-0.981358620079849,50,200,"CXCL8,CSF3,HPN,P2RY2,INHBA,CCL24,TLR3,CCL2,HAS2,KIF1B,IFNGR2,ATP2A2,AXL,ICOSLG,CALCRL,ITGB8,TLR1,NOD2,ITGB3,AHR,FZD5,TNFSF9,RTP4,CD48,NMUR1,ICAM4,TACR1,TNFSF10,SLC4A4,CD55,IRF1,EREG,CD40,OPRK1,GCH1,PTGIR,ADORA2B,CXCL6,HBEGF,PDPN,IRF7,APLNR,KCNMB2,EIF2AK2,LY6E,NMI,SELL,CCL22,CCL20,BDKRB1,TACR3,CYBB,TNFRSF1B,CSF1,SLC11A2,IL15,MXD1,SLAMF1,IL12B,LPAR1,HRH1,OLR1,IL1R1,IL2RB"
"HALLMARK_KRAS_SIGNALING_DN",0.658823529411765,1,-0.323767676846602,-0.962542249090226,55,199,"TENT5C,PRKN,KLK8,SELENOP,KRT5,SLC38A3,GPRC5C,SSTR4,CNTFR,KRT1,ADRA2C,CALCB,SPTBN2,ITGB1BP2,PKP1,SYNPO,CYP39A1,KCNE2,FSHB,HTR1B,ZBTB16,CLSTN3,SPRR3,NPHS1,CALML5,KRT13,CLPS,PCDHB1,CD80,AMBN,ABCB11,MFSD6,PLAG1,IFI44L,IFNG,CDH16,BRDT,NTF3,MAGIX,ASB7,TENM2,YPEL1,SLC5A5,SLC6A14,FGF22,ALOX12B,CAMK1D,IL12B,EFHD1,DCC,CACNG1,KCNQ2,CPA2,CLDN8,SERPINB2,KRT4,FGGY,CACNA1F,IGFBP2,YBX2,LFNG,CAPN9,C5,GP2,ARHGDIG,GPR3,IRS4,ZC2HC1C,SMPX,CLDN16,MYOT,PDE6B,KCNMB1,SNCB,TLX1,TFAP2B,ITIH3,P2RY4,HNF1A,PTPRJ,MSH5,VPS50,BMPR1B,PDK2,SLC25A23,LGALS7,HTR1D"
"HALLMARK_SPERMATOGENESIS",0.7890625,1,-0.32013297888532,-0.915316384372685,201,134,"CDKN3,AURKA,HSPA4L,HSPA1L,SEPTIN4,HOXB1,TNP1,MTNR1A,MLF1,NAA11,OAZ3,PSMG1,IL13RA2,GSG1,SCG3,ZNRF4,MEP1B,NEK2,PACRG,GPR182,SCG5,ACRV1,SYCP1,GSTM3,IFT88,TSSK2,CNIH2,DPEP3,HTR5A,COIL,DMC1,CHRM4,NPY5R,DCC,TEKT2,SNAP91,YBX2,SHE,ACTL7B,STRBP,TULP2,SPATA6,DDX25,GAD1,ZC2HC1C,GRM8,DMRT1,TALDO1,SLC2A5,ADAM2,ZC3H14,IL12RB2"
"HALLMARK_APICAL_JUNCTION",0.882352941176471,1,-0.302125764238793,-0.89820211656364,74,199,"COL17A1,ACTN3,CRB3,PIK3R3,IRS1,ARHGEF6,MYH10,FBN1,VCAM1,PIK3CB,THY1,WASL,KRT31,CADM3,CD209,LAMC2,NFASC,VWF,LAMB3,CDH8,SYK,CD86,ICAM4,PTEN,ACTN2,CLDN4,ICAM2,TRAF1,ATP1A3,NECTIN4,EPB41L2,SDC3,MAPK14,VCAN,AMH,PPP2R2C,PALS1,AMIGO1,CLDN9,ADAMTS5,MADCAM1"
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0.902930402930403,1,-0.315096043340461,-0.849759718803482,492,87,"CXCL13,SOCS3,LEPR,CXCL1,CXCL3,PIM1,IFNGR2,SOCS1,CNTFR,ITGB3,IRF1,GRB2,IL13RA1,IL12RB1,CSF2,TNFRSF1B,FAS,CSF1,ITGA4,CCR1,IL9R,MAP3K8,IL1R1,ACVRL1,IL6,EBI3,CSF2RA,LTB,IL6ST"
"HALLMARK_ANGIOGENESIS",0.905172413793103,1,-0.319240494283003,-0.743930947190438,1259,36,"FSTL1,LPL,COL5A2,PRG2,STC1,ITGAV,VTN,VCAN,CXCL6,KCNJ8,VEGFA"
"HALLMARK_MYC_TARGETS_V1",0.931994753304409,1,0.38505353481869,0.782190023069842,9236,200,"U2AF1,RACK1,HNRNPR,TRIM28,UBE2E1,PSMC4,ODC1,RPS2,YWHAE,PPIA,HNRNPA3,HSP90AB1,DDX18,XPOT,PSMD14,ILF2,RNPS1,CANX,SET,PHB1,DEK,SYNCRIP,PCBP1,FBL,USP1,PA2G4,H2AZ1,DDX21,GNL3,NOP16,DHX15,SRSF2,KARS1,PSMD1,HDGF,PSMD8,MCM7,HNRNPU,EIF3D,POLD2,TYMS,TRA2B,PPM1G,NPM1,HNRNPA1,PSMD3,PSMC6,SMARCC1,IFRD1,PSMD7,CAD,SNRPB2,PSMA7,PSMA2,SNRPA,HNRNPD,SSB,EIF4A1,EIF4H,SNRPA1,ERH,PRDX4,SRSF7,NAP1L1,PSMB3,IMPDH2,KPNB1,CCT2,SRM,RSL1D1,PRPF31,LSM7,RAD23B,PHB2,APEX1,EIF3B,RPS5,RANBP1,ABCE1,CBX3,NOP56,CSTF2,PSMB2,RPLP0,CDC45,XRCC6,UBE2L3,HNRNPA2B1,STARD7,SRSF3,RPS10"
"HALLMARK_BILE_ACID_METABOLISM",0.941489361702128,1,-0.289717202019571,-0.816965822520787,353,111,"RXRG,NUDT12,ABCA8,NEDD4,HACL1,BBOX1,EPHX2,PEX11A,CYP7A1,ISOC1,RETSAT,OPTN,PEX7,HSD17B6,CYP39A1,ALDH9A1,NR0B2,PEX11G,AMACR,FDXR,CROT,HAO1,HSD17B11,MLYCD,SOAT2,ABCA5,EFHC1,CYP46A1,GNPAT,ACSL5,CH25H,ALDH1A1,KLF1,LIPE,PXMP2,GC,DIO1"
"HALLMARK_MYC_TARGETS_V2",0.951235657546337,1,0.347969056289415,0.659350672388437,8621,58,"MAP3K6,NOP2,PPRC1,FARSA,MYBBP1A,IPO4,DDX18,PES1,PHB1,PA2G4,PPAN,GNL3,NOP16,NOC4L,UTP20,RRP12,WDR74,NPM1,TCOF1,SRM,WDR43,GRWD1,CBX3,NOP56,EXOSC5"
"HALLMARK_APICAL_SURFACE",0.959183673469388,1,-0.28829251787767,-0.70231791736425,1174,44,"SRPX,THY1,MDGA1,PCSK9,BRCA1,CD160,CROCC,GSTM3,PKHD1,RHCG,RTN4RL1,IL2RB,SLC22A12,FLOT2,ADIPOR2,EPHB4"
