food,category,protein_g,energy_kcal,leucine_g,isoleucine_g,valine_g,lysine_g,threonine_g,phenylalanine_g,methionine_g,tryptophan_g,histidine_g,arginine_g,glutamic_acid_g,glycine_g,cystine_g,tyrosine_g,alanine_g,proline_g,serine_g,aspartic_acid_g,bcaa_total_g,bcaa_ratio_leu,leucine_per_100g_protein,bcaa_per_100g_protein,lysine_per_100g_protein,grams_for_leucine_threshold,kcal_for_leucine_threshold
Whey protein isolate,animal_supplement,90.0,370,11.0,6.4,5.8,9.8,7.0,3.4,2.1,1.9,1.8,2.5,16.0,1.8,2.0,3.2,4.8,5.5,4.5,10.5,23.2,0.47413793103448276,12.222222222222221,25.77777777777778,10.88888888888889,22.727272727272727,84.09090909090908
Casein protein,animal_supplement,85.0,360,9.3,5.0,6.0,7.5,4.2,5.0,2.7,1.3,2.7,3.5,20.0,2.5,0.5,5.5,3.0,10.5,5.5,6.5,20.3,0.458128078817734,10.941176470588236,23.88235294117647,8.823529411764707,26.881720430107524,96.77419354838709
Egg white (dried),animal_supplement,82.0,382,8.5,4.8,6.0,6.2,4.0,5.5,3.6,1.3,2.4,5.6,12.5,3.4,2.8,4.0,5.0,3.6,6.0,8.5,19.3,0.44041450777202074,10.365853658536585,23.53658536585366,7.560975609756097,29.411764705882355,112.3529411764706
"Egg, whole (raw)",animal_whole_food,12.6,143,1.09,0.67,0.78,0.88,0.51,0.66,0.39,0.17,0.31,0.77,1.64,0.42,0.28,0.51,0.7,0.5,0.93,1.23,2.54,0.42913385826771655,8.650793650793652,20.158730158730158,6.984126984126984,229.3577981651376,327.9816513761468
Chicken breast (raw),animal_whole_food,23.1,113,1.84,1.12,1.24,2.06,1.0,0.98,0.62,0.27,0.63,1.47,3.6,1.03,0.3,0.8,1.4,0.85,0.9,2.2,4.2,0.4380952380952381,7.965367965367966,18.181818181818183,8.917748917748918,135.8695652173913,153.5326086956522
"Lean beef (top sirloin, raw)",animal_whole_food,26.9,150,2.15,1.15,1.3,2.3,1.1,1.1,0.7,0.3,0.75,1.6,4.2,1.1,0.32,0.9,1.6,1.1,1.0,2.5,4.6,0.4673913043478261,7.992565055762083,17.100371747211895,8.550185873605948,116.27906976744187,174.41860465116278
"Salmon (Atlantic, raw)",animal_whole_food,20.4,208,1.62,0.94,1.05,1.84,0.9,0.86,0.59,0.23,0.55,1.21,2.98,0.83,0.25,0.7,1.23,0.72,0.8,1.9,3.6100000000000003,0.4487534626038781,7.941176470588236,17.696078431372552,9.019607843137257,154.320987654321,320.98765432098764
"Tuna (light, canned in water)",animal_whole_food,23.3,103,1.86,1.08,1.2,2.1,1.0,0.98,0.63,0.26,0.65,1.4,3.5,1.0,0.28,0.8,1.4,0.8,0.9,2.2,4.140000000000001,0.4492753623188405,7.982832618025751,17.768240343347642,9.012875536480687,134.40860215053763,138.44086021505376
Greek yogurt (nonfat),animal_dairy,10.9,59,1.08,0.62,0.72,0.95,0.45,0.55,0.32,0.14,0.3,0.38,2.1,0.3,0.12,0.45,0.5,1.1,0.6,0.8,2.42,0.44628099173553726,9.908256880733946,22.20183486238532,8.715596330275229,231.4814814814815,136.57407407407408
Milk (whole),animal_dairy,3.2,61,0.34,0.19,0.23,0.27,0.15,0.17,0.09,0.04,0.09,0.12,0.68,0.08,0.04,0.17,0.11,0.35,0.18,0.25,0.76,0.4473684210526316,10.625,23.75,8.4375,735.2941176470588,448.52941176470586
Cottage cheese (lowfat 2%),animal_dairy,12.6,84,1.28,0.73,0.85,1.12,0.53,0.65,0.38,0.16,0.35,0.45,2.45,0.35,0.14,0.53,0.6,1.3,0.7,0.95,2.86,0.4475524475524476,10.158730158730158,22.6984126984127,8.888888888888891,195.3125,164.0625
Collagen peptides (hydrolyzed),animal_supplement,90.0,370,2.7,1.4,2.2,3.5,1.8,2.0,0.8,0.1,0.5,7.5,10.0,23.0,0.1,0.5,8.0,14.0,3.5,5.0,6.3,0.4285714285714286,3.0000000000000004,6.999999999999999,3.888888888888889,92.59259259259258,342.59259259259255
Beef protein isolate,animal_supplement,88.0,365,7.0,3.8,4.3,7.6,3.6,3.6,2.3,1.0,2.5,5.3,14.0,3.7,1.1,3.0,5.3,3.7,3.3,8.3,15.100000000000001,0.46357615894039733,7.954545454545454,17.15909090909091,8.636363636363637,35.714285714285715,130.35714285714286
Pork tenderloin (raw),animal_whole_food,24.3,120,1.94,1.1,1.25,2.15,1.05,1.0,0.65,0.28,0.68,1.55,3.8,1.05,0.3,0.85,1.5,1.0,0.95,2.3,4.29,0.4522144522144522,7.9835390946502045,17.65432098765432,8.847736625514404,128.8659793814433,154.63917525773198
Turkey breast (raw),animal_whole_food,24.1,114,1.92,1.15,1.27,2.15,1.05,1.0,0.65,0.28,0.67,1.5,3.75,1.05,0.3,0.82,1.45,0.9,0.92,2.25,4.34,0.44239631336405527,7.966804979253111,18.00829875518672,8.92116182572614,130.20833333333334,148.43750000000003
"Cod (Atlantic, raw)",animal_whole_food,18.0,82,1.44,0.84,0.93,1.64,0.8,0.76,0.52,0.2,0.48,1.07,2.65,0.73,0.22,0.62,1.09,0.64,0.7,1.7,3.21,0.4485981308411215,8.0,17.833333333333336,9.11111111111111,173.61111111111111,142.36111111111111
Shrimp (raw),animal_whole_food,20.3,85,1.62,0.95,1.05,1.8,0.85,0.85,0.55,0.22,0.52,1.3,3.1,0.9,0.25,0.7,1.2,0.75,0.78,1.9,3.62,0.44751381215469616,7.980295566502463,17.832512315270936,8.866995073891626,154.320987654321,131.17283950617283
