"gene","combined_log2FC","combined_se","combined_pvalue","n_studies","I2","combined_padj","direction","signature_direction"
"CEROX1",1.02616700815576,0.145860005022642,1.98851162932764e-12,3,0,6.51635260930666e-08,"up","up"
"IGFL2-AS1",3.77878522096272,0.584322530043311,1e-10,1,NA,1.74576841335527e-07,"up","up"
"MT-ND2",1.4683498162027,0.227054418132186,1e-10,1,NA,1.74576841335527e-07,"up","up"
"SNHG32",1.01541148564733,0.157015488744111,1e-10,1,NA,1.74576841335527e-07,"up","up"
"SYNE1",0.402100422846286,0.0620512007879548,9.16379939490342e-11,9,0,1.74576841335527e-07,"up","up"
"PODNL1",2.22170787612491,0.347016038718295,1.53033060888627e-10,2,0,2.50744670266015e-07,"up","up"
"MT-ND4L",1.46511219697629,0.230132285224668,1.93527236148424e-10,1,NA,3.01994644218279e-07,"up","up"
"MT-ND1",1.47821679211274,0.241629239672539,9.49316486989808e-10,1,NA,1.27748978231894e-06,"up","up"
"MT-ND4",1.39174964830005,0.227651215357552,9.74587871772157e-10,1,NA,1.27748978231894e-06,"up","up"
"MT-CO2",1.43047308629828,0.240601514125701,2.7577666329394e-09,1,NA,3.32078420352937e-06,"up","up"
"MT-ND3",1.36661271396724,0.230040884217218,2.83741097646696e-09,1,NA,3.32078420352937e-06,"up","up"
"MT-ND5",1.31575519173546,0.222676642724425,3.44576417158427e-09,1,NA,3.89371351389023e-06,"up","up"
"MT-ATP8",1.58646648609446,0.268994925541208,3.68477900427525e-09,1,NA,4.02500693233666e-06,"up","up"
"PFDN6",0.791941890320163,0.134975971444956,4.43000782882071e-09,2,0,4.68294698549854e-06,"up","up"
"MT-ND6",1.23433886394821,0.211410576908381,5.26456623479906e-09,1,NA,5.39124485982391e-06,"up","up"
"MT-CYB",1.27909878783265,0.223129358660676,9.89355629340724e-09,1,NA,9.26319542099872e-06,"up","up"
"FAT1",0.538479069511367,0.0941880735987566,1.08381492246098e-08,4,0,9.59908513758012e-06,"up","up"
"CBS",1.08648401139686,0.195838463891141,2.89190399816569e-08,2,0,2.42994087230486e-05,"up","up"
"FDX2",0.648951699098389,0.118505408694872,4.34714372555904e-08,1,NA,3.56139749716424e-05,"up","up"
"MT-CO3",1.26376946354442,0.232793314254243,5.6760001144477e-08,1,NA,4.53664692074271e-05,"up","up"
"MT-CO1",1.16608068742029,0.217076252042903,7.79735150755015e-08,1,NA,5.94230718377717e-05,"up","up"
"INMT",0.731724895538355,0.136778763904655,8.81017802835809e-08,5,0,6.56158031793851e-05,"up","up"
"PIMREG",0.540105936334021,0.102176862009073,1.25026285924136e-07,3,0,8.90676389072597e-05,"up","up"
"EIF4EBP3",0.732299433493264,0.139333970426865,1.47451660133396e-07,3,0,0.000100666477136904,"up","up"
"WASH2P",0.772582051481025,0.148854965872269,2.10106163559006e-07,2,0,0.000129909037355257,"up","up"
"EMCN-IT1",5.67369169503058,1.13333228822959,5.55141614218919e-07,1,NA,0.000298229355704164,"up","up"
"MTRNR2L12",1.30434041801018,0.264679349697392,8.30746814288856e-07,1,NA,0.000432120208003902,"up","up"
"FLJ42393",0.405758093784717,0.0829509948875425,1.00050151463259e-06,1,NA,0.000504406686684769,"up","up"
"RP11-6J24.6",4.92878746747072,1.0311789599956,1.75504978666906e-06,1,NA,0.000821614021559216,"up","up"
"MARCH7",0.381627089011372,0.0817994180584749,3.08015726220745e-06,5,2.96138212059005,0.00126170941853172,"up","up"
"WDR83OS",0.479560946093356,0.103022224681032,3.24095348600072e-06,2,0,0.00131118574983017,"up","up"
"PRODH",0.549501726655536,0.121088783902406,5.67884254450332e-06,6,30.9161343879536,0.00211472352481107,"up","up"
"CBWD2",0.524400761106812,0.11676911957585,7.09162239899524e-06,1,NA,0.00261115130354016,"up","up"
"CTC-250I14.6",5.01397984315714,1.12244590190013,7.93195071469178e-06,1,NA,0.00285637390022472,"up","up"
"LINC00680",0.851327431157986,0.191845052267502,9.09766538125073e-06,1,NA,0.00320570424240415,"up","up"
"STX10",0.264586649054122,0.0600146518591135,1.03992531681737e-05,4,0,0.0035871950139058,"up","up"
"COL24A1",0.60067245825503,0.136403842358427,1.06452982212651e-05,6,28.3436870507976,0.00359635487330782,"up","up"
"FZD8",0.265662712691989,0.0609130297392699,1.29265596700957e-05,9,5.30277195059661,0.00411502828041524,"up","up"
"YEATS2",0.300236543104124,0.0688423555959315,1.29340223644422e-05,5,0,0.00411502828041524,"up","up"
"SHB",0.532429529250849,0.122142695016916,1.30611583953526e-05,5,0,0.00411552077515099,"up","up"
"RASL11B",0.377054118233961,0.0867762398096581,1.3919265458345e-05,6,0,0.00430315404782986,"up","up"
"KIAA0895L",0.486996183571149,0.113467837917195,1.77125625711534e-05,5,0,0.00522919527438465,"up","up"
"LOC102724788",1.2046131706609,0.282052275505446,1.94697746408292e-05,1,NA,0.00566781528035341,"up","up"
"NUTM2B",1.09486712201294,0.263720868151555,3.30139435445107e-05,3,0,0.00851863724372927,"up","up"
"LOC730098",0.921181037188857,0.225353129479501,4.35628968660551e-05,1,NA,0.0106534039574674,"up","up"
"RPL6P10",1.15657401701684,0.284180394248365,4.70416834172361e-05,2,0,0.0114189330783913,"up","up"
"TNFAIP8L3",0.664493990594768,0.16346794989733,4.8036526082407e-05,5,0,0.0115746835273565,"up","up"
"LOC112694756",0.763251708047476,0.188756121213475,5.26397175717684e-05,1,NA,0.012591266750561,"up","up"
"VSTM4",0.306407139938144,0.0764458332449607,6.11936276678626e-05,4,0,0.0142220934657862,"up","up"
"PCLAF",0.60467488575118,0.151133928974894,6.30964651741577e-05,3,0,0.014561064533501,"up","up"
"HMGB1P5",0.708768632286511,0.177919465763888,6.78651993712108e-05,1,NA,0.0151288611115277,"up","up"
"MMP14",0.308697150288223,0.0785002057070835,8.40888573633619e-05,9,0,0.0177780119728863,"up","up"
"ADAMTS16",0.393895750138488,0.100292633657876,8.58461162095992e-05,4,0,0.0179183262941947,"up","up"
"NPM1P46",3.22867410136821,0.823934903193146,8.90635266548357e-05,1,NA,0.0184722263827783,"up","up"
"NPIPA5",0.787128031894259,0.201682413517356,9.50825522390322e-05,3,0,0.0194740952304568,"up","up"
"PLXNB1",0.277524219868172,0.0711436489923628,9.58359603619066e-05,6,0,0.0195064870873272,"up","up"
"IP6K2",0.355634958168839,0.0926270793281325,0.000123321524439029,5,0,0.0240550378325415,"up","up"
"PGA5",1.98160773966576,0.516693460527052,0.00012547700066487,2,0,0.0243306586496319,"up","up"
"KIF9-AS1",4.02580694635011,1.05876721472296,0.000143328173645257,1,NA,0.0263868778109835,"up","up"
"RPP21|TRIM39-RPP21",0.794362110936921,0.208902198027537,0.000143211422609281,1,NA,0.0263868778109835,"up","up"
"DDT|DDTL",0.707012600025175,0.186035454584678,0.000144451869942708,1,NA,0.0264451831174444,"up","up"
"SMN1|SMN2",0.556811589936481,0.148526736657963,0.000177613280317516,1,NA,0.0311250652192781,"up","up"
"COLGALT1",0.313508571403961,0.0845262221542014,0.000208071520515118,4,0,0.0346116940471087,"up","up"
"PNMA6A",0.592711885351669,0.160064822515532,0.000213107678144316,2,0,0.0350378351607744,"up","up"
"KIAA1324L",2.30266904862704,0.62238843876656,0.00021582914044512,2,0,0.0351876663302816,"up","up"
"MSC-AS1",0.636076298672424,0.172965397511767,0.000235552160696853,2,0,0.0372900691112844,"up","up"
"RP11-399J13.3",5.56557492531567,1.51407472255706,0.000237019929436309,1,NA,0.0373420340751339,"up","up"
"AC104389.16",3.69822911323972,1.01024517927901,0.000251503236720332,1,NA,0.0388762314496475,"up","up"
"RAB5IF",0.518181824326088,0.141893521269044,0.000260301008767174,2,0,0.0396747165455828,"up","up"
"C11orf98",0.505020480224264,0.138438546339153,0.00026431442740565,1,NA,0.0400999249355701,"up","up"
"RP11-21J18.1",3.21682094171463,0.882796821209594,0.00026854062141941,1,NA,0.0403673218528168,"up","up"
"NPC1",0.513494899902296,0.141927977426262,0.000296892617946829,9,67.7468688907436,0.0439609140654175,"up","up"
"MRPL23|LOC107987373",0.492386412840113,0.136544998036964,0.00031090796839183,1,NA,0.045282018329779,"up","up"
"PNN",0.252865635906985,0.0701915865187181,0.000315163703200488,8,34.2037593091794,0.0456010421972432,"up","up"
"KCNK1",0.296871418832839,0.0826678254972836,0.000329239542933401,8,0,0.0465050854393429,"up","up"
"PLEKHD1",1.26528355642377,0.352976588192247,0.000337581721627073,4,0,0.0472758675970905,"up","up"
"OBSL1",0.275450802146789,0.0772601056465057,0.000363523684930613,3,0,0.0498438123647539,"up","up"
"DEFA1B",-0.268494823571364,0.0406683367971549,4.05481716408848e-11,3,0,1.74576841335527e-07,"down","down"
"HBA1",-0.283341857845118,0.0437016479451381,8.95886482837165e-11,3,0,1.74576841335527e-07,"down","down"
"HBM",-0.442281633519075,0.0674458604728701,5.46879317356775e-11,3,0,1.74576841335527e-07,"down","down"
"HBQ1",-0.396207177707833,0.0608794734082325,7.61282461269264e-11,4,0,1.74576841335527e-07,"down","down"
"MINAR1",-1.23717181975769,0.191307165946935,1.00007832334901e-10,2,0,1.74576841335527e-07,"down","down"
"NUDT4B",-0.850927459251807,0.137903938866513,6.81018426160004e-10,2,0,9.70303209794058e-07,"down","down"
"LMCD1",-0.51154723053107,0.0963413960582383,1.09785069875017e-07,9,0,7.99479275512067e-05,"down","down"
"BCYRN1",-1.57732749418516,0.299785832184514,1.42873642044556e-07,1,NA,9.96163670170234e-05,"down","down"
"TCAF2",-1.30880840852739,0.25891808194846,4.30586745249221e-07,2,0,0.00024328151106581,"down","down"
"KPRP",-3.86013351385867,0.768757252998306,5.13324103274033e-07,2,0,0.000280360514404834,"down","down"
"LINC01474",-2.5822220960247,0.521064447858051,7.20824317906758e-07,1,NA,0.000380990530609749,"down","down"
"CASTOR3",-0.512832146053839,0.105571432270182,1.18769657443408e-06,2,0,0.000589709344609165,"down","down"
"HBD",-0.457118702388887,0.0958258586772704,1.83945947073103e-06,3,4.91569505823354,0.000849001223321913,"down","down"
"DEPP1",-0.816398858368302,0.171925823007571,2.04877343906128e-06,3,0,0.000907274399973488,"down","down"
"NEK10",-0.760519759584746,0.165351986326506,4.23711569299186e-06,2,0,0.00165297953880171,"down","down"
"AK3",-0.274234862269743,0.059816646050391,4.54875762319363e-06,8,32.7000909185233,0.00173328822455878,"down","down"
"SCAT8",-2.24757017191998,0.501960132161058,7.5491459469195e-06,2,0,0.0027487279186728,"down","down"
"LINC01203",-2.53400443248321,0.571791484013616,9.34959857471057e-06,1,NA,0.0032594292052475,"down","down"
"RPS10P26",-0.299414678136171,0.0679641845505459,1.05551163484698e-05,2,0,0.00359635487330782,"down","down"
"SUCLG2-DT",-0.848899573198825,0.193067035679592,1.09799721251509e-05,2,0,0.00367156823001221,"down","down"
"TSPYL5",-0.36175655743071,0.0824644516156787,1.15020848006832e-05,5,0,0.0038073062517009,"down","down"
"PTPN3",-0.50235137054877,0.114917837216538,1.23454668140942e-05,4,0,0.00404560947497866,"down","down"
"DUXAP10",-1.2088578864486,0.277826034691751,1.35436178699709e-05,1,NA,0.00422689864379949,"down","down"
"LINC00924",-3.69158474856608,0.853124339999428,1.51060934038873e-05,1,NA,0.00462641757799427,"down","down"
"DEXI",-0.274545010497398,0.0636607056724914,1.61324640057512e-05,9,3.38117757252698,0.00489500782841173,"down","down"
"MYL3",-0.55004409168769,0.127743988657785,1.66359647242613e-05,9,0,0.00500147306434903,"down","down"
"PCAT1",-1.75376282139916,0.407790980551846,1.7030437074617e-05,3,0,0.00507352202668363,"down","down"
"GLULP4",-1.14388073612669,0.267885536615813,1.95441906219083e-05,1,NA,0.00566781528035341,"down","down"
"SRRM1P1",-6.17558145259553,1.45244274192329,2.12003517978451e-05,1,NA,0.0060446325357773,"down","down"
"KLHL34",-0.697996047497812,0.164496890922823,2.20337926822361e-05,5,0,0.00615782989445598,"down","down"
"RPL21P93",-0.290200552319491,0.0686204237954686,2.34659685007995e-05,2,0,0.00635520485761323,"down","down"
"LINC03007",-1.61381439142368,0.383816511604705,2.61485585299081e-05,1,NA,0.00696657124410641,"down","down"
"STIMATE-MUSTN1",-1.14812013617954,0.275059189654316,2.99187487012335e-05,1,NA,0.00784349915951538,"down","down"
"MED28",-0.310996575546643,0.075098930514389,3.45556040875156e-05,8,36.9653766225778,0.00884677457771785,"down","down"
"OLFM4",-0.42008213912115,0.101598499958913,3.5537564201238e-05,5,0,0.00895819983749668,"down","down"
"MCFD2",-0.258805598737217,0.0632852514388044,4.32287489754592e-05,7,43.0277483749802,0.0106511737137278,"down","down"
"GTF2IP4",-0.391519506991086,0.098579923918616,7.13930983721146e-05,1,NA,0.0158077826598256,"down","down"
"CCDC39",-0.997658231153505,0.25132446366748,7.19926182867351e-05,3,0,0.0158335443037336,"down","down"
"FN1.1",-1.14206298847594,0.288827943178275,7.6813912969998e-05,1,NA,0.0166701452187208,"down","down"
"NAALAD2",-0.37655305737337,0.0957499199946121,8.40067274751577e-05,7,4.93262402460307,0.0177780119728863,"down","down"
"STRADB",-0.339993004060474,0.0865555480768745,8.56436470712409e-05,5,36.9091930038788,0.0179183262941947,"down","down"
