signature,compound,overlap_genes,signature_size,query_size,p_value,direction,overlapping_genes
Ethanol-dn,Ethanol,1,240,77,0.7031057270267614,drug_down_reverses_query_up,SYNE1
Sodium arsenite-dn,Sodium,1,284,77,0.762860778860476,drug_down_reverses_query_up,INMT
Vitamin c-dn,Vitamin,1,322,77,0.8047981209782578,drug_down_reverses_query_up,FAT1
Perfluorooctanoic acid-dn,Perfluorooctanoic,2,373,77,0.5607567462787902,drug_down_reverses_query_up,"FAT1,INMT"
Vitamin e-up,Vitamin,1,258,64,0.6621782076877023,drug_up_reverses_query_down,MYL3
Gefitinib-dn,Gefitinib,2,483,77,0.7012488400236921,drug_down_reverses_query_up,"FZD8,WASH2P"
Methylprednisolone-up,Methylprednisolone,1,319,64,0.7393394069676127,drug_up_reverses_query_down,CAV3
Methylprednisolone-dn,Methylprednisolone,1,272,77,0.7478555548872572,drug_down_reverses_query_up,MMP14
Pristane-up,Pristane,1,312,64,0.7314523857054014,drug_up_reverses_query_down,GFPT2
Methoxychlor-dn,Methoxychlor,1,319,77,0.801772296405661,drug_down_reverses_query_up,FAT1
Leptin-up,Leptin,1,190,64,0.5495078736124479,drug_up_reverses_query_down,OLFM4
Leptin-dn,Leptin,4,406,77,0.14605280267390847,drug_down_reverses_query_up,"FAT1,INMT,KCNK1,PRODH"
Morphine-dn,Morphine,1,432,77,0.8891817055498156,drug_down_reverses_query_up,WDR83OS
Mycophenolic acid-up,Mycophenolic,1,307,64,0.7256754384970835,drug_up_reverses_query_down,DEFA1B
Acetaminophen-up,Acetaminophen,1,230,64,0.6196125671212753,drug_up_reverses_query_down,AK3
Acetaminophen-dn,Acetaminophen,3,364,77,0.27477801507883004,drug_down_reverses_query_up,"CBS,INMT,PRODH"
Cisplatin-up,Cisplatin,1,468,64,0.8622561184475902,drug_up_reverses_query_down,MCFD2
Metoprolol-dn,Metoprolol,2,358,77,0.5383876746988717,drug_down_reverses_query_up,"CBWD2,KIAA1324L"
Methotrexate-up,Methotrexate,2,314,64,0.3769742146930742,drug_up_reverses_query_down,"DEFA1B,NUAK2"
Imatinib-dn,Imatinib,1,340,77,0.8220189317843956,drug_down_reverses_query_up,WDR83OS
Estradiol-up,Estradiol,1,332,64,0.753386442680322,drug_up_reverses_query_down,OLFM4
Hydroxyzine-up,Hydroxyzine,1,220,64,0.6031653082587748,drug_up_reverses_query_down,DEFA1B
Ribavirin-dn,Ribavirin,1,378,77,0.8536008920049003,drug_down_reverses_query_up,WDR83OS
Bleomycin-dn,Bleomycin,1,312,77,0.794530833496213,drug_down_reverses_query_up,INMT
Diclofenac-dn,Diclofenac,1,339,77,0.8211028527568154,drug_down_reverses_query_up,COLGALT1
Chromium(iii) nicotinate-dn,Chromium(iii),2,338,77,0.5073937134899407,drug_down_reverses_query_up,"INMT,PFDN6"
Curcumin-dn,Curcumin,1,562,77,0.9435472956806156,drug_down_reverses_query_up,PNN
Cetuximab-up,Cetuximab,1,302,64,0.7197762014484081,drug_up_reverses_query_down,BCYRN1
Bisphenol a-dn,Bisphenol,1,424,77,0.8845073929325921,drug_down_reverses_query_up,WDR83OS
Harman-up,Harman,1,306,64,0.7245054550280587,drug_up_reverses_query_down,AK3
Harman-dn,Harman,1,287,77,0.7664722116078229,drug_down_reverses_query_up,WDR83OS
Aminolevulinic acid-up,Aminolevulinic,2,279,64,0.3239788187636788,drug_up_reverses_query_down,"ARHGEF6,PTPN3"
Pimecrolimus-up,Pimecrolimus,1,336,64,0.7575567137487553,drug_up_reverses_query_down,LY6G6C
Doxycycline-dn,Doxycycline,1,191,77,0.6189720874106128,drug_down_reverses_query_up,PFDN6
Deferasirox-up,Deferasirox,1,256,64,0.6592999839637734,drug_up_reverses_query_down,HBQ1
Vanadium pentoxide-dn,Vanadium,1,242,77,0.7061188693921339,drug_down_reverses_query_up,WDR83OS
Palmitic acid-up,Palmitic,1,294,64,0.7100766830929284,drug_up_reverses_query_down,MCFD2
Pd173074-up,Pd173074,1,269,64,0.6775857568722061,drug_up_reverses_query_down,OLFM4
Caerulein-up,Caerulein,1,267,64,0.6748367919126399,drug_up_reverses_query_down,MCFD2
Caerulein-dn,Caerulein,1,330,77,0.8126459074230011,drug_down_reverses_query_up,CBS
Sodium butyrate-dn,Sodium,1,309,77,0.7913479914612083,drug_down_reverses_query_up,MMP14
Bexarotene-dn,Bexarotene,1,267,77,0.7413302471931138,drug_down_reverses_query_up,FAT1
Atorvastatin-up,Atorvastatin,2,283,64,0.3300999918109886,drug_up_reverses_query_down,"DEFA1B,HBD"
Insulin-up,Insulin,1,259,64,0.6636083303698023,drug_up_reverses_query_down,MYL3
Concanavalin a-dn,Concanavalin,2,392,77,0.5879887507754566,drug_down_reverses_query_up,"INMT,PRODH"
Vemurafenib-dn,Vemurafenib,1,280,77,0.7579596603544774,drug_down_reverses_query_up,COLGALT1
Fenretinide-up,Fenretinide,2,175,64,0.16497513057288618,drug_up_reverses_query_down,"DEFA1B,HBD"
N-nitrosodimethylamine-dn,N,1,322,77,0.8047981209782578,drug_down_reverses_query_up,CBS
1-naphthyl isothiocyanate-dn,1,1,317,77,0.7997294091149546,drug_down_reverses_query_up,CBS
Glipizide-up,Glipizide,1,337,64,0.7585883873072713,drug_up_reverses_query_down,MCFD2
Glipizide-dn,Glipizide,1,258,77,0.7291619913019356,drug_down_reverses_query_up,INMT
Cyclophosphamide-dn,Cyclophosphamide,1,236,77,0.6969876731134679,drug_down_reverses_query_up,NPC1
Folic acid-dn,Folic,2,339,77,0.5089745034159371,drug_down_reverses_query_up,"COLGALT1,WDR83OS"
Metformin-up,Metformin,1,327,64,0.7480741949003822,drug_up_reverses_query_down,MCFD2
Irinotecan-up,Irinotecan,1,260,64,0.6650324930248488,drug_up_reverses_query_down,AK3
Irinotecan-dn,Irinotecan,1,340,77,0.8220189317843956,drug_down_reverses_query_up,PFDN6
Colchicine-up,Colchicine,1,340,64,0.7616575484298956,drug_up_reverses_query_down,GFPT2
Bpde-up,Bpde,1,363,64,0.783945823565445,drug_up_reverses_query_down,AK3
Cytarabine-dn,Cytarabine,1,323,77,0.8057965628996524,drug_down_reverses_query_up,PNN
Dapt-dn,Dapt,2,273,77,0.39821881902647144,drug_down_reverses_query_up,"FZD8,RASL11B"
"Puromycin, 2xec50, 1d-up","Puromycin,",1,247,64,0.6460464049764312,drug_up_reverses_query_down,TSPYL5
"Puromycin, 2xec50, 1d-dn","Puromycin,",1,353,77,0.8335148918274067,drug_down_reverses_query_up,CBS
Cobalt dichloride hexahydrate-dn,Cobalt,2,305,77,0.45347465845492774,drug_down_reverses_query_up,"CBS,RASL11B"
Acrylamide-dn,Acrylamide,2,403,77,0.6031861739509987,drug_down_reverses_query_up,"FAT1,MMP14"
Olanzapine-dn,Olanzapine,1,398,77,0.8679307729988543,drug_down_reverses_query_up,RASL11B
N-methylformamide-dn,N,1,304,77,0.7859347726671697,drug_down_reverses_query_up,CBS
Cyfluthrin-dn,Cyfluthrin,2,204,77,0.2722386591253736,drug_down_reverses_query_up,"ADAMTS16,FAT1"
Ethinyl estradiol-dn,Ethinyl,2,354,77,0.5322946478522169,drug_down_reverses_query_up,"INMT,MMP14"
Hydrogen peroxide-up,Hydrogen,1,371,64,0.7912067495620241,drug_up_reverses_query_down,CAV3
Hydrogen peroxide-dn,Hydrogen,1,226,77,0.6811428015527907,drug_down_reverses_query_up,MMP14
Quercetin-dn,Quercetin,1,464,77,0.9060830151101948,drug_down_reverses_query_up,INMT
