"gene","log2FC"
"LINC01695",6.2591426618852
"CTD-2561F5.1",5.80347798347942
"EMCN-IT1",5.67369169503058
"RP11-399J13.3",5.56557492531567
"RP11-65G9.1",5.53553154041863
"TBC1D3C",5.49243888494669
"RP11-281H11.1",5.21564943509279
"RP1-313I6.12",5.0335123173492
"CTC-250I14.6",5.01397984315714
"XXbac-BPG300A18.13",4.9893133186952
"AF146191.4",4.94352873606823
"HNRNPU-AS1",4.94137315628837
"RP11-6J24.6",4.92878746747072
"IGHV1-24",4.87512576337135
"KRTAP21-2",4.80042096173771
"LINC00222",4.71936858980798
"RP11-280O1.2",4.64874638983023
"KB-67B5.17",4.64661558034676
"AF196779.12",4.64214763571435
"RP11-48F14.1",4.61309135823613
"RP11-299J3.8",4.60419529753821
"SEL1L2",4.57070230873555
"RP11-400K9.4",4.56003859362744
"RP11-260A9.6",4.51775872269064
"LINC01629",4.50809736941308
"ZNF705E",4.49216957666812
"RP11-770E5.1",4.49003594578047
"TNFSF12-TNFSF13",4.48819888563101
"RP11-229C3.2",4.48802379393371
"CTD-2207P18.2",4.46089776628306
"RP11-186N15.3",4.45945450304266
"CTC-523E23.11",4.44675248689855
"RP11-511I2.2",4.44326302225026
"PSMD7-DT",4.44136566974136
"AC027601.1",4.42564507838863
"IGHV1OR15-1",4.36500641675704
"RP5-894D12.3",4.34275252059605
"RP11-686D22.8",4.32841461570054
"CTD-2410N18.4",4.32673851972033
"LOC105373174",4.31174762327331
"TBC1D3I",4.27871132834
"CTD-3049M7.1",4.26754439863249
"IGHV1OR15-3",4.26501458996224
"OR13A1",4.23870738408443
"AC097468.7",4.21201594141866
"RP11-195C7.1",4.18729534432237
"RP11-655M14.13",4.17034785117252
"RP11-137H2.4",4.16093730632988
"KB-1460A1.2",4.14130842516001
"LINC02449",4.13924426983631
"TGIF2-C20orf24",4.1230309155524
"RP11-84C10.2",4.09557510331463
"HBBP1",4.09296489132976
"C14orf164",4.07429981288492
"AC004951.5",4.07051238820262
"AC026150.8",4.06274190860622
"RP11-152F13.7",4.04744781006717
"RP11-316M21.6",4.03669930315292
"AP001372.2",4.03405578140021
"KIF9-AS1",4.02580694635011
"CTGLF11P",4.01269356835648
"RP11-727A23.5",3.984020612719
"AC092159.2",3.97311570461081
"IGKV1-37",3.93992265056637
"AC142528.1",3.93973473485244
"RP13-614K11.1",3.93964640454842
"AC133528.2",3.93701092414791
"RP11-38L15.3",3.92807664694404
"MSH5-SAPCD1",3.89864561975911
"RP11-180P8.3",3.88266187189092
"RPL32P24",3.8552395416939
"RP11-391M7.3",3.84820789022283
"AC005077.12",3.83954708677211
"AC007743.1",3.83645856247943
"HSP90AA5P",3.82958055988965
"OR6B2",3.81792367517388
"LINC00616",3.81505386614936
"Z73979.1",3.81501653540257
"AC009365.3",3.7938718080673
"IGFL2-AS1",3.77878522096272
"CTD-2509G16.2",3.77119159502403
"RPL12P10",3.76812952835591
"RP11-15B17.1",3.76595303005845
"AP003774.6",3.75061795806733
"CTD-2192J16.26",3.73046745603141
"AC093391.2",3.71727727073375
"AC027612.6",3.71575049810632
"MCCD1",3.70390168941598
"AC104389.16",3.69822911323972
"NANOGP8",3.69466910875202
"RP11-423O2.5",3.69277577660929
"PPP1R26P1",3.68500189037379
"ALG1L6P",3.6838865930743
"LOC283731",3.66387489913271
"FMO6P",3.66213987606559
"RP11-488I20.3",3.65978741827696
"RP11-282O18.3",3.6536301612053
"FAM138F",3.64585979991744
"RP11-3N2.13",3.6448783501658
"CTD-2044J15.1",3.63861421925278
"RP11-672A2.6",3.61716394223203
"KRTAP4-7",3.61672710668167
"RP5-1142A6.2",3.61030848580171
"RP11-293M10.6",3.6097766915201
"AC002511.3",3.60525486396889
"RP11-310H4.2",3.60265071498347
"RP11-809C9.2",3.60176126470275
"C12orf71",3.59507476088926
"RP1-191J18.65",3.58376908806748
"RP11-174O3.3",3.58319158662336
"RP11-498P14.5",3.57724847007044
"RP11-159D12.2",3.57126271165049
"AC022182.3",3.56233366963187
"TRBV20OR9-2",3.56232812638016
"RP6-1O2.1",3.56070169498256
"AC104809.4",3.56069541500285
"KRT8P33",3.55887742494386
"RP13-631K18.2",3.54060400864961
"RP11-80K21.3",3.5397520026457
"RP11-404F10.2",3.53346355216154
"CTD-2267D19.2",3.53171532203649
"AC022400.2",3.5250750537127
"RP1-290I10.7",3.49995201910041
"RP11-554A11.6",3.48823886847244
"RP11-145A3.1",3.48357483801307
"AC005355.2",3.47831046554107
"GUCA1A|LOC118142757",3.45821508073402
"KRTAP2-2",3.45095990980001
"RP5-1000K24.2",3.44141688847328
"CTD-2521M24.9",3.44004787511438
"FAM66D",3.42623151767358
"AC004878.3",3.39662266042682
"RP11-234K19.1",3.39344542300898
"UPF3AP2",3.38953298288599
"RAB4B-EGLN2",3.38505286683061
"AC011899.9",3.37967899995537
"AC015849.2",3.37753168728327
"C17orf66",3.37540133158888
"RP11-416O18.1",3.36335371838606
"CTD-2540B15.12",3.35985511108079
"GEMIN8P4",3.35569761338714
"TMEM269",3.35059474958221
"AP000344.3",3.32359731377627
"RP11-707G14.7",3.31974624267901
"PKP4-AS1",3.31134497935663
"RP11-580I16.2",3.3103792014887
"CPSF1P1",3.30537227431455
"CSAG1",3.30125626505771
"RP11-902B17.1",3.29415371372614
"RP11-218F4.1",3.28674981855205
"RP11-440L14.1",3.28566058466928
"RP11-327F22.2",3.27996570122756
"RP11-142A12.1",3.27905106266727
"ABCC6P2",3.2638152825298
"AC016831.6",3.26161612632035
"DNAJB5-DT",3.25973625687582
"RP11-219B17.1",3.25606642975589
"LOC100505664",3.25501560709769
"RP11-584P21.2",3.24863465860156
"LINC03022",3.24054467292848
"A2MP1",3.23813859534504
"ABCD1P4",3.23176629663639
"RP11-115J23.1",3.23109022227031
"AP001057.1",3.22982547594117
"NPM1P46",3.22867410136821
"RP5-1091N2.9",3.22057583887457
"RP11-21J18.1",3.21682094171463
"NAA60_2",3.20957593646356
"RP11-977G19.10",3.20547248911252
"AC006552.1",3.2052944050092
"CTD-2342J14.6",3.20465761884221
"HLA-DQB3",3.20346221727028
"RP11-467N20.1",3.18727838494861
"CTD-2576D5.3",3.18548024905272
"AL590762.6",3.16761309094939
"AP002954.4",3.16505179833671
"FAM134A",3.1640765994891
"CTD-3179P9.2",3.15696729551303
"RRS1-DT",3.15662927956067
"CTC-246B18.8",3.14915824532641
"CTD-2410N18.5",3.14633032128985
"RP11-495K9.7",3.14169979009124
"RP5-1120P11.3",3.14025410225256
"RP4-617C6.1",3.13955973811837
"PSMC1P5",3.13759713950263
"PRKG1-AS1",3.13147941228658
"RP11-44K6.3",3.12869065728378
"ANKRD18CP",3.12673834282493
"AC115618.1",3.12402025282361
"AC005682.6",3.11202503147322
"AC073128.10",3.10960911743527
"RP11-419C23.1",3.10912045291749
"RP11-138I1.4",3.09848104974312
"POTEH",3.09731045438768
"RP11-1186N24.5",3.09002980226794
"RP11-206L10.2",3.08933578249711
"RP5-940J5.9",3.08438455340403
"AC007228.11",3.08253055480053
"AC012146.7",3.07856332158172
"RP11-112J1.2",3.07568232833049
"AC007879.2",3.07391525891989
"HMGA1P4",3.07325778025411
"TEX21P",3.06721078363983
"RP3-473L9.4",3.06456362334037
"RP11-320M2.1",3.06257169071952
"CCT8L1P",3.05782910100447
"RP11-660L16.2",3.05119983647358
"RP3-413H6.2",3.04766839295398
"RP11-342M1.6",3.03696541071586
"CTD-3064M3.1",3.02750881340314
"RPL4P5",3.0274378957876
"FAM138D",3.02738787395281
"RP11-313J2.1",3.02518486042737
"RP11-307E17.8",3.02357231906019
"LINC01443",3.01232973945745
"AP001877.1",3.00685102055425
"CTD-2012J19.3",3.00622196366586
"FAM90A24P",3.00621392963751
"CTD-2126E3.1",3.00378507975638
"RP13-52K8.1",3.00363082193283
"GS1-393G12.12",3.00092486984824
"SVILP1",2.99423014149146
"MSTO2P",2.99040236509775
"RP11-421L10.1",2.98946395257097
"FAM26E",2.9808350034447
"RP11-98J23.2",2.97716199741118
"KRT17P2",2.97709746770135
"LRRC37A7P",2.97581047227125
"RP11-182I10.3",2.96971511339933
"CTD-2278I10.6",2.96455326507493
"HM13-AS1",2.95919341030741
"STK4-AS1",2.95639795510464
"RP11-503N18.3",2.95015841261062
"CTD-2143L24.1",2.94936948382471
